,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,exam_max
345,100,100,77.09,98,100,98.91,100,97.90,96.26,100,100,86
346,100,97.50,90.06,98,98.52,95.74,100,80.40,76.71,100,100,82
347,100,94,77.89,92.44,73.36,89.60,100,85.98,90.52,100,62.80,59
348,71.67,41.25,80.34,100,93.70,89.18,93.75,85.40,81.43,99,100,83
349,100,90.66,97.30,98.49,100,99.70,100,93.90,89.94,100,98.91,79
350,100,92,97.54,91.56,89.58,99.18,96.88,88.44,98,99,90.51,82
351,100,100,93.75,100,100,97.68,100,99.70,78.20,95,97.20,96
352,100,91.42,99.60,94.30,100,97.93,96.88,86.26,90,98,92.11,87
353,100,64.68,41.76,0,0,90.35,0,0,0,0,0,
354,100,100,100,98.89,96.04,99.40,100,74.11,71.19,100,60,77
355,100,90.56,99.39,100,96.67,100,96.88,30,33,90,94.40,85
356,100,98.47,90.85,92.96,96.67,99.03,94.38,93.32,96.67,99,97.20,94
357,100,93.11,100,98.89,100,89.35,100,65.75,86,100,100,97
358,100,100,100,100,100,100,95.83,97.20,96,100,100,95
359,100,95.25,98,100,92,100,84.60,90.20,84,100,100,91
360,100,85.26,100,100,100,82.20,93.75,89.40,98,100,97.20,80
361,100,98,92.24,89.48,94,97.08,81.03,90.81,91.55,93,97.20,87
362,100,100,90.24,96,100,88.70,93.75,90.33,100,99,96.11,95
363,100,96,89.63,98.89,96.76,100,95.83,90.84,87.97,100,97.20,95
364,100,100,85.35,100,100,97.98,96.88,97.90,92,100,100,95
365,100,98.47,95.86,90.96,100,97.98,100,87.23,97.97,100,80.37,96
366,100,80.84,89.56,90.96,98.71,96.11,77.23,81.02,98,100,100,92
367,100,97.50,92.50,96,90.13,82.98,97.50,97.90,51.04,100,80,85
368,100,90,93.81,100,98.11,99.03,90,74.03,73.20,99,100,87
369,100,95.25,92.10,100,100,99.70,98.96,88.96,86,99,98.91,100
